frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,mx1,my1,mx2,my2,plate_text
0,car,0.8765385746955872,1,748,290,1050,496,False,95.0,64,130,137,150,-
1,car,0.9144208431243896,1,733,290,1045,500,False,0,66,133,141,154,-
2,car,0.9156613349914551,1,719,290,1042,506,False,0,66,137,144,157,-
3,car,0.9009972810745239,1,702,289,1036,512,False,0,68,142,149,162,-
4,car,0.9004724621772766,1,702,289,1037,513,False,54.0,69,142,149,163,-
5,car,0.929286539554596,1,685,287,1027,517,False,0,71,147,152,171,-
6,car,0.9311426281929016,1,663,287,1022,522,False,95.0,75,151,159,175,-
7,car,0.9268589019775391,1,644,287,1018,529,False,95.0,70,155,164,179,-
8,car,0.9432939291000366,1,626,285,1010,535,False,95.0,72,161,164,190,-
9,car,0.9146139025688171,1,601,285,1004,541,False,0,76,165,169,195,-
10,car,0.9139081239700317,1,601,285,1004,541,False,0,76,166,169,195,-
11,car,0.8857508301734924,1,578,284,1000,550,False,95.0,76,172,175,198,-
12,car,0.9247226119041443,1,551,285,993,560,False,95.0,80,176,180,204,-
13,car,0.9249523282051086,1,521,284,980,566,False,59.5,87,182,189,210,-
14,car,0.928268551826477,1,494,283,973,577,False,95.0,83,189,192,220,-
15,car,0.8895211815834045,1,459,281,963,590,False,95.0,85,198,201,230,-
16,car,0.8877893686294556,1,459,281,963,590,False,95.0,85,198,201,230,-
17,car,0.9296775460243225,1,421,279,953,603,False,95.0,90,208,212,241,-
18,car,0.9240646362304688,1,384,279,942,613,False,95.0,82,216,211,252,-
19,car,0.9287626147270203,1,339,277,931,625,False,95.0,89,225,218,262,-
20,car,0.9357291460037231,1,290,277,919,647,False,95.0,94,236,231,278,-
21,car,0.8680638670921326,1,234,273,908,659,False,95.0,100,253,240,295,-
22,car,0.8668599724769592,1,234,273,908,659,False,95.0,100,253,240,295,-
23,car,0.8654212951660156,1,176,268,896,682,False,95.0,99,271,249,317,-
24,car,0.9266353845596313,1,110,265,877,705,False,95.0,97,289,256,337,-
25,car,0.9150893688201904,1,26,263,864,727,False,56.06666666666667,104,310,278,359,-
26,car,0.9251554012298584,1,1,262,848,756,False,95.0,53,332,222,394,-
