epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1402,1.57784,2.93593,1.3172,0.12065,0.02703,0.04498,0.01029,1.28256,3.23546,1.12535,0.000649573,0.000649573,0.000649573
2,8.39414,1.64933,1.81756,1.27972,0.01158,0.75676,0.39697,0.21726,1.34967,2.75822,1.12204,0.00130321,0.00130321,0.00130321
3,11.5828,1.61965,1.80785,1.27382,0.64105,0.67574,0.74212,0.38008,1.52326,1.92735,1.24412,0.00194364,0.00194364,0.00194364
4,14.7068,1.63035,1.67711,1.29352,0.8921,0.67055,0.8482,0.36869,1.6884,1.74184,1.47005,0.0019406,0.0019406,0.0019406
5,17.7888,1.56363,1.51763,1.27652,0.8812,0.64865,0.78906,0.4213,1.5639,1.71626,1.30672,0.0019208,0.0019208,0.0019208
6,20.8668,1.57269,1.47421,1.3057,0.45218,0.7027,0.55595,0.2785,1.59738,2.95733,1.21437,0.001901,0.001901,0.001901
7,23.9298,1.55823,1.39687,1.30983,1,0.85517,0.9704,0.54532,1.5405,1.29273,1.29969,0.0018812,0.0018812,0.0018812
8,26.9192,1.58734,1.3441,1.32537,1,0.85772,0.96182,0.5118,1.47507,1.24718,1.26526,0.0018614,0.0018614,0.0018614
9,29.9177,1.52791,1.25347,1.29089,0.9641,0.72586,0.91268,0.52037,1.45547,1.35509,1.2049,0.0018416,0.0018416,0.0018416
10,32.9357,1.52013,1.22602,1.28127,0.83972,0.91892,0.92135,0.52188,1.41024,1.11778,1.15528,0.0018218,0.0018218,0.0018218
11,35.9611,1.4655,1.19529,1.25857,0.94037,0.8526,0.92669,0.49933,1.43364,0.94661,1.23366,0.001802,0.001802,0.001802
12,38.962,1.45177,1.15947,1.22008,0.93846,0.91892,0.92471,0.51798,1.42001,0.95439,1.18686,0.0017822,0.0017822,0.0017822
13,41.9277,1.47105,1.12207,1.2595,0.99323,0.91892,0.96642,0.55585,1.37967,0.83687,1.09868,0.0017624,0.0017624,0.0017624
14,44.9472,1.49636,1.1209,1.26569,0.89909,0.91892,0.97,0.52401,1.52914,0.92965,1.21062,0.0017426,0.0017426,0.0017426
15,47.9231,1.45682,1.11995,1.27191,1,0.93356,0.97751,0.58403,1.33995,0.97788,1.17167,0.0017228,0.0017228,0.0017228
16,51.0065,1.43898,1.07191,1.19102,0.85016,0.83784,0.84974,0.52673,1.21971,1.06182,1.10918,0.001703,0.001703,0.001703
17,54.0172,1.45205,1.07327,1.22591,0.96205,0.91892,0.97863,0.57302,1.18105,0.86966,1.05828,0.0016832,0.0016832,0.0016832
18,56.9867,1.38764,1.04778,1.21304,0.97143,0.91882,0.98621,0.56562,1.43798,0.81612,1.23063,0.0016634,0.0016634,0.0016634
19,60.0903,1.35949,1.01092,1.2109,1,0.93568,0.98816,0.56858,1.35358,0.75419,1.12467,0.0016436,0.0016436,0.0016436
20,63.0945,1.37461,0.98022,1.18922,0.96696,0.97297,0.98755,0.57492,1.37644,0.85202,1.18188,0.0016238,0.0016238,0.0016238
21,66.2101,1.38284,0.96865,1.20233,0.91481,0.94595,0.96935,0.59244,1.36253,0.81284,1.17134,0.001604,0.001604,0.001604
22,69.5914,1.35218,0.95025,1.19235,0.93403,0.91892,0.95264,0.56577,1.40256,0.76989,1.19738,0.0015842,0.0015842,0.0015842
23,72.9175,1.38234,0.95446,1.18221,0.9651,0.94595,0.98023,0.60506,1.40346,0.81944,1.11591,0.0015644,0.0015644,0.0015644
24,76.1707,1.36377,0.96454,1.19127,0.94806,0.89189,0.96723,0.57284,1.4285,0.76895,1.15396,0.0015446,0.0015446,0.0015446
25,79.3885,1.40899,0.93042,1.21291,0.97273,0.96434,0.97798,0.56689,1.38083,0.70564,1.2066,0.0015248,0.0015248,0.0015248
26,82.603,1.3477,0.92067,1.1835,0.95119,0.97297,0.99235,0.59316,1.23572,0.69382,1.05929,0.001505,0.001505,0.001505
27,85.7844,1.29478,0.87436,1.15975,0.96264,0.91892,0.96687,0.55199,1.30676,0.8169,1.08766,0.0014852,0.0014852,0.0014852
28,88.9138,1.31488,0.90146,1.16528,0.89461,1,0.9825,0.58964,1.34685,0.71997,1.08802,0.0014654,0.0014654,0.0014654
29,92.1758,1.3457,0.86723,1.15219,0.94716,0.96903,0.98621,0.54368,1.46112,0.78823,1.13404,0.0014456,0.0014456,0.0014456
30,95.3734,1.30089,0.89332,1.16412,0.91797,0.90749,0.97131,0.58262,1.39185,0.77973,1.1742,0.0014258,0.0014258,0.0014258
31,98.5894,1.30867,0.86972,1.17449,1,0.91888,0.98597,0.60765,1.32139,0.8235,1.11894,0.001406,0.001406,0.001406
32,101.868,1.2658,0.84519,1.16737,0.98814,0.91892,0.98963,0.54351,1.55058,0.72812,1.31548,0.0013862,0.0013862,0.0013862
33,105.088,1.29643,0.82587,1.17567,0.98401,0.86486,0.96781,0.55938,1.42161,0.70976,1.16721,0.0013664,0.0013664,0.0013664
34,108.406,1.20205,0.78434,1.123,0.94298,1,0.9916,0.6118,1.28863,0.65952,1.11196,0.0013466,0.0013466,0.0013466
35,111.651,1.20732,0.76252,1.11037,0.97203,0.93956,0.96405,0.56451,1.46116,0.74335,1.17626,0.0013268,0.0013268,0.0013268
36,114.897,1.25151,0.78448,1.13013,0.96322,0.94595,0.98161,0.57051,1.29528,0.64901,1.04296,0.001307,0.001307,0.001307
37,118.208,1.27272,0.82425,1.15745,1,0.91511,0.98377,0.58542,1.21358,0.76117,1.05005,0.0012872,0.0012872,0.0012872
38,121.513,1.26289,0.82327,1.12448,0.95095,1,0.99368,0.58584,1.40731,0.69474,1.1384,0.0012674,0.0012674,0.0012674
39,124.769,1.2417,0.78017,1.14753,0.97728,0.91892,0.98514,0.5951,1.28845,0.70597,1.06737,0.0012476,0.0012476,0.0012476
40,128.131,1.2271,0.77158,1.12369,0.98709,0.97297,0.98754,0.57837,1.21654,0.63163,1.06108,0.0012278,0.0012278,0.0012278
41,131.399,1.24262,0.77349,1.12342,0.87307,0.9297,0.94886,0.53092,1.23756,0.70132,1.0511,0.001208,0.001208,0.001208
42,134.784,1.22295,0.75705,1.10712,0.94055,0.97297,0.96444,0.60131,1.24032,0.6648,1.05416,0.0011882,0.0011882,0.0011882
43,138.162,1.25505,0.78278,1.12285,0.87175,0.91852,0.92499,0.54011,1.3959,0.69754,1.10633,0.0011684,0.0011684,0.0011684
44,141.447,1.24257,0.7687,1.12755,0.99827,0.97297,0.99397,0.63146,1.24439,0.59949,1.04989,0.0011486,0.0011486,0.0011486
45,144.854,1.22993,0.75025,1.14426,0.98671,0.94595,0.99244,0.58729,1.34041,0.66175,1.07603,0.0011288,0.0011288,0.0011288
46,148.171,1.21035,0.74113,1.13038,1,0.93637,0.99192,0.62048,1.31456,0.65237,1.09202,0.001109,0.001109,0.001109
47,151.583,1.14136,0.69211,1.09781,0.94852,0.99595,0.99181,0.64531,1.25854,0.61203,1.07364,0.0010892,0.0010892,0.0010892
48,154.98,1.15085,0.72092,1.10314,0.97282,0.96748,0.98961,0.6029,1.37048,0.66965,1.09396,0.0010694,0.0010694,0.0010694
49,158.567,1.18342,0.7003,1.11633,0.97034,0.97297,0.97345,0.61694,1.31057,0.6695,1.05802,0.0010496,0.0010496,0.0010496
50,162.308,1.1723,0.70047,1.1002,0.97353,0.97297,0.98713,0.63584,1.38495,0.6383,1.12116,0.0010298,0.0010298,0.0010298
51,165.757,1.17156,0.70985,1.12832,1,0.96229,0.98557,0.59298,1.32589,0.61333,1.05473,0.00101,0.00101,0.00101
52,169.288,1.16668,0.70409,1.11138,0.96941,0.97297,0.97346,0.6073,1.27818,0.55611,1.06079,0.0009902,0.0009902,0.0009902
53,172.708,1.09082,0.68805,1.06381,0.96907,0.97297,0.9753,0.62711,1.1821,0.61057,0.9893,0.0009704,0.0009704,0.0009704
54,176.291,1.1277,0.70869,1.06425,0.99593,0.97297,0.98414,0.58676,1.24652,0.62696,1.01653,0.0009506,0.0009506,0.0009506
55,179.956,1.12226,0.70999,1.08515,1,0.97107,0.98656,0.62185,1.24889,0.60459,1.01187,0.0009308,0.0009308,0.0009308
56,183.469,1.12829,0.70227,1.08176,0.97216,0.94382,0.98323,0.60487,1.30241,0.56287,1.0651,0.000911,0.000911,0.000911
57,187.335,1.14039,0.66398,1.15094,0.96798,0.94595,0.97843,0.61054,1.30943,0.58681,1.08472,0.0008912,0.0008912,0.0008912
58,191.118,1.15237,0.67143,1.11214,0.96838,0.94595,0.98276,0.60606,1.22458,0.60853,1.0168,0.0008714,0.0008714,0.0008714
59,194.829,1.13362,0.69399,1.11056,0.99042,0.94595,0.98183,0.6108,1.30273,0.62618,1.06104,0.0008516,0.0008516,0.0008516
60,198.49,1.06998,0.65708,1.06474,0.97597,0.91892,0.96087,0.5847,1.31481,0.60906,1.05874,0.0008318,0.0008318,0.0008318
61,202.201,1.14643,0.67246,1.09598,0.99849,0.97297,0.98923,0.61327,1.30582,0.56281,1.05691,0.000812,0.000812,0.000812
62,205.866,1.12625,0.67202,1.09824,0.97212,0.9425,0.96977,0.60955,1.30984,0.60563,1.04477,0.0007922,0.0007922,0.0007922
63,209.521,1.07721,0.66483,1.07037,0.99814,0.91892,0.96549,0.6206,1.26201,0.64522,1.02179,0.0007724,0.0007724,0.0007724
64,213.284,1.0889,0.6693,1.05597,1,0.97003,0.98798,0.6168,1.235,0.59767,1.01326,0.0007526,0.0007526,0.0007526
65,217.031,1.09493,0.63711,1.07163,0.9711,0.94595,0.97991,0.62473,1.25431,0.60644,1.04265,0.0007328,0.0007328,0.0007328
66,220.596,1.06166,0.65254,1.06245,0.99847,0.97297,0.9935,0.64215,1.26472,0.62304,1.0564,0.000713,0.000713,0.000713
67,224.111,1.10195,0.65778,1.09081,0.99434,0.97297,0.99221,0.61975,1.28069,0.58943,1.06921,0.0006932,0.0006932,0.0006932
68,227.72,1.06058,0.63371,1.06545,0.99411,0.97297,0.98923,0.60994,1.2706,0.56932,1.05508,0.0006734,0.0006734,0.0006734
69,231.39,1.09571,0.64329,1.04824,0.97218,0.94446,0.9788,0.59135,1.30936,0.59355,1.06676,0.0006536,0.0006536,0.0006536
70,235.055,1.0527,0.63148,1.05001,0.99201,0.91892,0.98226,0.61437,1.23306,0.59079,1.04448,0.0006338,0.0006338,0.0006338
71,238.783,1.0224,0.6222,1.02886,0.94695,0.96506,0.98452,0.60912,1.32599,0.57125,1.06477,0.000614,0.000614,0.000614
72,242.559,1.06459,0.64484,1.06666,0.99612,0.97297,0.98572,0.62319,1.26303,0.54792,1.05558,0.0005942,0.0005942,0.0005942
73,246.201,1.04251,0.61709,1.0597,0.96904,0.94595,0.98033,0.60929,1.34742,0.5895,1.06629,0.0005744,0.0005744,0.0005744
74,249.845,1.00134,0.58807,1.04356,0.97103,0.94595,0.97353,0.6329,1.21286,0.56942,1.03277,0.0005546,0.0005546,0.0005546
75,253.37,1.05142,0.62289,1.05905,0.99688,0.97297,0.9804,0.60385,1.31683,0.57644,1.07784,0.0005348,0.0005348,0.0005348
76,257.009,1.03261,0.60579,1.03817,0.96925,0.94595,0.97975,0.62764,1.30468,0.57477,1.07918,0.000515,0.000515,0.000515
